lat,lon,rep_date,fuel,elev,slope,aspect,temp,rh,ws,wd,pcp,ffmc,dmc,dc,bui,isi,fwi,ros,hfi,sfc,tfc,frp,cbh,sfl,cfl,greenup,pcuring,pconif
45.0174,-63.2072,2023-03-22 17:11:00,farm,42.0,0.863496,112.109,11.599,25.0,15.244,220.0,0.001,88.957,0.0,0.0,0.0,7.958,2.626,1.44,151.0,0.35,0.35,4.74,,15.9938,0.142368,0.0,100,0
45.0141,-63.2063,2023-03-22 17:11:00,M1_50,42.0,0.32596,85.6013,11.599,25.0,15.244,220.0,0.001,88.957,0.0,0.0,0.0,7.958,2.626,5.83,0.0,0.0,0.0,4.74,,9.1895,0.17255,0.0,100,50
45.0143,-63.2196,2023-03-22 17:39:00,M1_50,42.0,1.35508,119.876,11.6,25.0,15.247,220.0,0.001,88.958,0.0,0.0,0.0,7.96,2.627,5.83,0.0,0.0,0.0,9.44,,14.091,0.203411,0.0,100,50
45.016,-63.205,2023-03-22 17:39:00,D1,42.0,0.863496,112.109,11.599,25.0,15.244,220.0,0.001,88.957,0.0,0.0,0.0,7.958,2.626,1.74,0.0,0.0,0.0,15.61,,18.0668,0.254725,0.0,100,0
43.9332,-65.7255,2023-04-10 17:07:00,D1,58.0,0.465027,233.746,14.297,32.0,14.465,210.0,0.087,87.608,14.129,61.381,17.936,6.306,9.145,1.08,136.0,0.42,0.42,2.85,,18.2646,0.0775912,0.0,46,0
43.9298,-65.7244,2023-04-10 17:07:00,M1_35,58.0,0.465027,233.746,14.295,32.0,14.466,210.0,0.087,87.608,14.123,61.347,17.928,6.306,9.143,2.24,403.0,0.6,0.6,2.76,,19.8649,0.0745552,0.0,46,35
43.9302,-65.7256,2023-04-10 17:54:00,M1_35,58.0,0.465027,233.746,14.296,32.0,14.466,210.0,0.087,87.608,14.123,61.351,17.928,6.306,9.143,2.24,403.0,0.6,0.6,13.33,,19.8649,0.0745552,0.0,46,35
43.9309,-65.7233,2023-04-10 17:56:00,M1_50,58.0,0.465027,233.746,14.295,32.0,14.466,210.0,0.087,87.607,14.125,61.358,17.931,6.305,9.142,2.84,579.0,0.68,0.68,13.95,,20.6504,0.0897571,0.0,46,50
45.5595,-64.2705,2023-04-14 17:26:00,M1_65,50.0,1.86656,286.736,13.05,39.0,14.477,344.0,0.0,87.906,8.715,18.674,8.643,6.585,6.554,1.87,213.0,0.38,0.38,4.18,,9.30012,0.373269,0.0,49,65
45.5409,-64.2827,2023-04-14 17:34:00,farm,45.0,1.44676,341.878,13.112,39.0,14.459,344.0,0.0,87.945,8.829,18.887,8.756,6.616,6.625,7.18,754.0,0.35,0.35,5.16,,7.10448,0.177118,0.0,63,0
45.5585,-64.2651,2023-04-14 17:34:00,M1_65,50.0,2.53827,300.48,13.046,39.0,14.476,344.0,0.0,87.906,8.71,18.666,8.638,6.584,6.552,1.87,213.0,0.38,0.38,3.6,,11.8914,0.350243,0.0,49,65
46.3009,-65.7285,2023-04-28 15:09:00,C2,49.0,0.9964,109.799,14.472,46.0,10.463,44.0,0.663,79.48,11.844,33.045,12.493,1.828,1.819,0.39,78.0,0.67,0.67,3.78,,13.5726,0.416607,0.0,43,100
45.8296,-66.3796,2023-04-28 17:20:00,O1a,61.0,1.16847,55.4599,15.642,42.0,10.543,352.0,0.791,81.868,13.677,32.692,13.655,2.387,2.897,1.7,179.0,0.35,0.35,12.22,,14.8572,0.0120092,0.0,53,0
45.8289,-66.3845,2023-04-28 17:20:00,M1_35,61.0,1.16847,55.4599,15.651,42.0,10.55,352.0,0.784,81.933,13.694,32.697,13.672,2.406,2.929,0.46,65.0,0.47,0.47,5.05,,6.69883,0.0235778,0.0,53,35
45.8322,-66.3855,2023-04-28 17:20:00,O1a,61.0,0.657885,38.8298,15.653,42.0,10.559,352.0,0.776,81.986,13.692,32.669,13.67,2.423,2.955,1.73,182.0,0.35,0.35,5.05,,13.6193,0.0120092,0.0,53,0
45.8312,-66.3973,2023-04-28 17:28:00,M1_65,61.0,0.732504,154.747,15.676,42.0,10.577,352.0,0.759,82.148,13.73,32.675,13.706,2.473,3.038,0.75,133.0,0.59,0.59,17.33,,10.7492,0.439976,0.0,39,65
45.8335,-66.3836,2023-04-28 17:28:00,M1_50,61.0,0.657885,38.8298,15.65,42.0,10.559,352.0,0.777,81.973,13.684,32.658,13.662,2.419,2.948,0.59,94.0,0.53,0.53,27.77,,6.55527,0.0130396,0.0,64,50
45.8262,-66.3808,2023-04-28 18:11:00,M1_50,61.0,1.16847,55.4599,15.643,42.0,10.537,352.0,0.796,81.846,13.686,32.721,13.665,2.38,2.888,0.58,92.0,0.53,0.53,4.39,,14.5092,0.111409,0.0,53,50
45.8321,-66.3705,2023-04-28 18:11:00,O1a,49.0,1.22181,41.6822,15.625,42.0,10.533,352.0,0.802,81.763,13.652,32.733,13.632,2.356,2.845,1.57,165.0,0.35,0.35,4.78,,12.7493,0.00433933,0.0,69,0
45.8318,-66.3811,2023-04-28 18:11:00,O1a,61.0,1.16847,55.4599,15.645,42.0,10.551,352.0,0.785,81.916,13.679,32.673,13.657,2.401,2.919,1.71,180.0,0.35,0.35,4.39,,8.73466,0.0235778,0.0,53,0
45.832,-66.3758,2023-04-28 18:11:00,O1a,49.0,1.16847,55.4599,15.635,42.0,10.542,352.0,0.793,81.84,13.669,32.733,13.648,2.378,2.882,1.69,177.0,0.35,0.35,4.78,,8.73692,0.011733,0.0,64,0
45.8316,-66.3865,2023-04-28 18:11:00,O1a,61.0,0.657885,38.8298,15.655,42.0,10.559,352.0,0.776,81.994,13.696,32.673,13.673,2.425,2.959,1.73,182.0,0.35,0.35,4.39,,14.7111,0.0902476,0.0,39,0
45.8146,-66.2559,2023-04-29 17:00:00,D1,38.0,0.803508,264.644,14.385,49.0,11.244,61.0,0.067,84.243,14.946,36.401,14.933,3.35,4.545,0.39,42.0,0.36,0.36,18.33,,0.0,-1.0,0.0,55,0
45.8157,-66.2505,2023-04-29 17:00:00,D1,51.0,0.276699,161.565,14.452,49.0,11.231,61.0,0.068,84.209,14.938,36.317,14.924,3.333,4.519,0.39,42.0,0.36,0.36,18.33,,0.0,-1.0,0.0,55,0
45.8101,-66.2445,2023-04-29 17:52:00,D1,51.0,0.276699,161.565,14.439,49.0,11.223,61.0,0.068,84.155,14.926,36.356,14.913,3.307,4.479,0.38,41.0,0.36,0.36,7.25,,0.0,-1.0,0.0,62,0
45.8185,-66.2521,2023-04-29 17:52:00,D1,51.0,0.276699,161.565,14.455,49.0,11.233,61.0,0.069,84.227,14.94,36.297,14.926,3.341,4.531,0.39,42.0,0.36,0.36,6.06,,0.0,-1.0,0.0,44,0
45.8141,-66.2515,2023-04-29 17:52:00,D1,51.0,0.276699,161.565,14.454,49.0,11.235,61.0,0.068,84.212,14.944,36.329,14.93,3.335,4.523,0.39,42.0,0.36,0.36,6.06,,0.0,-1.0,0.0,55,0
45.8145,-66.2453,2023-04-29 17:52:00,D1,51.0,0.276699,161.565,14.44,49.0,11.221,61.0,0.069,84.171,14.922,36.324,14.909,3.314,4.489,0.39,42.0,0.36,0.36,6.06,,0.0,-1.0,0.0,55,0
45.818,-66.2583,2023-04-29 17:52:00,D1,38.0,0.803508,264.644,14.391,49.0,11.246,61.0,0.068,84.268,14.949,36.377,14.936,3.362,4.562,0.39,42.0,0.36,0.36,11.8,,0.0,-1.0,0.0,55,0
45.8118,-66.2594,2023-04-29 18:09:00,D1,52.0,0.542275,244.026,14.477,49.0,11.253,61.0,0.066,84.26,14.975,36.341,14.961,3.359,4.563,0.39,42.0,0.36,0.36,25.7,,10.5451,0.101008,0.0,55,0
46.6444,-65.8555,2023-04-30 06:57:00,M1_50,,1.03456,101.853,11.45,57.0,9.22,83.0,0.0,85.864,17.741,40.281,17.69,3.781,5.7,1.389,278.0,0.668,0.668,1.26,,,0.0922489,0.0,47,50
43.7785,-65.5897,2023-04-30 17:13:00,C2,30.0,0.450694,70.56,11.898,58.0,19.511,102.0,0.377,83.406,16.182,43.22,16.717,4.548,6.574,2.09,545.0,0.87,0.87,28.07,,17.0965,0.626921,1.0,33,100
43.7748,-65.5927,2023-04-30 17:32:00,M2_50,30.0,1.05668,27.4744,11.897,58.0,19.527,102.0,0.384,83.374,16.165,43.19,16.702,4.533,6.551,1.51,285.0,0.63,0.63,25.43,,19.012,0.530802,1.0,29,50
43.7784,-65.5935,2023-04-30 17:32:00,D2,42.0,1.05668,27.4744,11.83,58.0,19.523,102.0,0.378,83.4,16.153,43.191,16.696,4.547,6.568,0.0,0.0,0.08,0.08,25.43,,13.7928,0.421176,1.0,33,0
43.7755,-65.587,2023-04-30 17:32:00,C2,30.0,0.767504,30.3236,11.898,58.0,19.509,102.0,0.382,83.386,16.177,43.214,16.713,4.536,6.557,2.08,543.0,0.87,0.87,11.55,,19.7799,0.529307,1.0,28,100
43.7756,-65.5886,2023-04-30 18:21:00,C2,30.0,0.767504,30.3236,11.898,58.0,19.513,102.0,0.382,83.385,16.175,43.209,16.711,4.536,6.557,2.08,543.0,0.87,0.87,15.47,,19.0505,0.418969,1.0,28,100
43.7794,-65.595,2023-04-30 18:21:00,M2_65,42.0,1.05668,27.4744,11.83,58.0,19.525,102.0,0.377,83.406,16.154,43.191,16.696,4.551,6.574,1.95,415.0,0.71,0.71,5.97,,13.7928,0.421176,1.0,33,65
45.5714,-66.3985,2023-05-06 16:28:00,O1b,133.0,2.16001,343.872,19.62,32.0,18.075,352.0,0.032,87.061,10.24,25.008,10.229,6.996,7.521,3.11,327.0,0.35,0.35,5.35,,12.8886,0.00371067,0.0,65,0
